feature,group,importance_gain,importance_split,drift_risk,leakage_risk,needs_oof,decision,notes
star_percentile,listwise_within_query,108110,1408,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
price_per_person,price,107759,1758,LOW,LOW,NO,keep,
site_dest_book_rate,hotel_agg_TE_cross,105608,1707,HIGH,MED,YES,TEST_HIGHER_SMOOTHING,"Cross-key TE on rare (prop,dest)/(site,dest) pairs. High overfit risk; P5 will sweep prior_weight."
review_rank,listwise_within_query,105045,1105,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
prop_log_historical_price,raw,104868,1520,LOW,NONE,NO,keep,
site_book_rate,hotel_agg_TE_single,103370,1496,MED,LOW,YES,keep,Single-key TE with kfold OOF. Generally safe.
price_per_star,interaction,102998,1545,LOW,LOW,NO,keep,
srch_destination_id,raw,102148,1709,LOW,NONE,NO,keep,
star_vs_dest_mean,listwise_within_query,101392,1527,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
value_gap,listwise_within_query,100394,1562,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
price_vs_min,listwise_within_query,99464,1392,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
comp_advantage_rank_norm,competitor,98221,1630,LOW,LOW,NO,keep,
query_price_mean,listwise_within_query,97973,1448,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
starrating_rank_norm,listwise_within_query,96435,1346,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
comp_rate_pct_mean,competitor,90921,1466,LOW,LOW,NO,keep,
price_rank_norm,listwise_within_query,85820,1173,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
country_book_rate,hotel_agg_TE_single,85011,1225,MED,LOW,YES,keep,Single-key TE with kfold OOF. Generally safe.
price_per_room,price,81241,1248,LOW,LOW,NO,keep,
log_distance,price,79883,1231,LOW,LOW,NO,keep,
srch_query_affinity_score,raw,79871,992,LOW,NONE,NO,keep,
site_country_book_rate,hotel_agg_TE_cross,77850,1230,HIGH,MED,YES,TEST_HIGHER_SMOOTHING,"Cross-key TE on rare (prop,dest)/(site,dest) pairs. High overfit risk; P5 will sweep prior_weight."
price_usd,raw,77704,1135,LOW,NONE,NO,keep,
cpair_book_rate,hotel_agg_TE_cross,77377,1229,HIGH,MED,YES,TEST_HIGHER_SMOOTHING,"Cross-key TE on rare (prop,dest)/(site,dest) pairs. High overfit risk; P5 will sweep prior_weight."
comp_rate_pct_max,competitor,76909,1233,LOW,LOW,NO,keep,
hour,temporal,75309,1246,LOW,LOW,NO,keep,
price_ratio_to_visitor_hist,visitor,73398,813,LOW,LOW,NO,keep,
log_prop_count,hotel_agg_count,71660,990,MED,LOW,NO,keep,Counts; cold-start prop_id/dest_id fall back to 0 — possible undersignal for rare entities.
comp_rate_pct_min,competitor,66484,1094,LOW,LOW,NO,keep,
query_affinity_exp,interaction,66478,843,LOW,LOW,NO,keep,
comp_advantage_rank,competitor,63877,942,LOW,LOW,NO,keep,
location_total_rank,listwise_within_query,57225,910,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
price_diff_from_visitor_hist,visitor,55823,682,LOW,LOW,NO,keep,
star_review_product,quality,55170,505,LOW,LOW,NO,keep,
starrating_rank,listwise_within_query,54760,728,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
location1_rank,listwise_within_query,53840,823,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
visitor_hist_adr_usd,raw,48213,604,LOW,NONE,NO,keep,
abs_star_diff,visitor,48126,603,LOW,LOW,NO,keep,
distance_x_international,interaction,48069,687,LOW,LOW,NO,keep,
prop_review_score,raw,42345,367,LOW,NONE,NO,keep,
visitor_location_country_id,raw,41239,647,LOW,NONE,NO,keep,
prop_country_id,raw,39683,556,LOW,NONE,NO,keep,
star_diff,visitor,39543,524,LOW,LOW,NO,keep,
site_id,raw,39022,590,LOW,NONE,NO,keep,
month,temporal,34867,577,LOW,LOW,NO,keep,
star_x_brand,interaction,34624,340,LOW,LOW,NO,keep,
visitor_hist_starrating,raw,32117,417,LOW,NONE,NO,keep,
dayofweek,temporal,29011,511,LOW,LOW,NO,keep,
promotion_flag,raw,26979,129,LOW,NONE,NO,keep,
log_price,price,26573,416,LOW,LOW,NO,keep,
prop_starrating,raw,26559,86,LOW,NONE,NO,keep,
srch_length_of_stay,raw,25283,375,LOW,NONE,NO,keep,
comp_inv_count,competitor,21456,332,LOW,LOW,NO,keep,
prop_brand_bool,raw,21316,168,LOW,NONE,NO,keep,
comp_rate_count,competitor,20936,350,LOW,LOW,NO,keep,
total_guests,interaction,20637,332,LOW,LOW,NO,keep,
srch_adults_count,raw,18447,273,LOW,NONE,NO,keep,
comp_rate_sum,competitor,18178,290,LOW,LOW,NO,keep,
srch_children_count,raw,16326,244,LOW,NONE,NO,keep,
has_location_score2,missing_flag,15379,14,LOW,LOW,NO,keep,
is_domestic,quality,13794,163,LOW,LOW,NO,keep,
is_overpriced,interaction,11156,46,LOW,LOW,NO,keep,
n_best_flags,listwise_within_query,10773,142,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
comp_more_expensive_count,competitor,9501,149,LOW,LOW,NO,keep,
comp_no_inv_count,competitor,7629,138,LOW,LOW,NO,keep,
is_last_minute,interaction,7495,86,LOW,LOW,NO,keep,
comp_rate_advantage,competitor,6895,108,LOW,LOW,NO,keep,
comp_cheaper_count,competitor,6553,109,LOW,LOW,NO,keep,
srch_room_count,raw,5550,87,LOW,NONE,NO,keep,
is_discounted,interaction,4560,25,LOW,LOW,NO,keep,
is_family,interaction,3563,52,LOW,LOW,NO,keep,
srch_saturday_night_bool,raw,2902,46,LOW,NONE,NO,keep,
is_long_window,interaction,2756,38,LOW,LOW,NO,keep,
is_short_window,interaction,2255,41,LOW,LOW,NO,keep,
review_is_zero,quality,1968,22,LOW,LOW,NO,keep,
is_weekend_search,temporal,1286,20,LOW,LOW,NO,keep,
is_best_star,listwise_within_query,919,8,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
has_query_affinity,missing_flag,673,9,LOW,LOW,NO,keep,
starrating_is_zero,quality,621,4,LOW,LOW,NO,keep,
is_best_location1,listwise_within_query,621,9,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
is_best_review,listwise_within_query,321,4,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
has_distance,missing_flag,316,6,LOW,LOW,NO,keep,
has_historical_price,missing_flag,267,4,LOW,LOW,NO,keep,
is_cheapest,listwise_within_query,253,2,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
is_most_expensive,listwise_within_query,45,1,LOW,LOW,NO,keep,Computed within srch_id. Pure rank/relative features.
has_visitor_history,missing_flag,20,0,LOW,LOW,NO,keep,
